"x" "y" "grp" "srtm_56_04" "ruggedness" "Occ_1200" "row_id"
-126790.325768971 4821565.24440289 8249 1431.12890625 18.6127262115479 0.639986103 128
-124790.325768971 4821565.24440289 8251 1425.23046875 37.6909122467041 0.639986103 129
-122790.325768971 4821565.24440289 8253 1426.61328125 35.4319438934326 0.639986103 130
-120790.325768971 4821565.24440289 8255 1488.06640625 37.4359912872314 0.639986103 131
-118790.325768971 4821565.24440289 8257 1525.6328125 30.4593980312347 0.639986103 132
-116790.325768971 4821565.24440289 8087 1605.76953125 43.6539268493652 0.639986103 133
-114790.325768971 4821565.24440289 8089 1549.91796875 21.279611825943 0.639986103 134
-112790.325768971 4821565.24440289 8092 1534.52734375 17.4238247871399 0.5370253 135
-164790.325768971 4823565.24440289 8388 1613.98046875 6.73039567470551 0.302657875 136
-162790.325768971 4823565.24440289 8390 1630.89453125 7.43677055835724 0.302657875 137
-160790.325768971 4823565.24440289 8392 1623.515625 6.73835301399231 0.302657875 138
-158790.325768971 4823565.24440289 8394 1624.21875 8.32545900344849 0.302657875 139
-156790.325768971 4823565.24440289 8396 1591.7421875 9.96795439720154 0.302657875 140
-154790.325768971 4823565.24440289 8397 1573.953125 7.54829466342926 0.302657875 141
-152790.325768971 4823565.24440289 8225 1556.09765625 6.34670305252075 0.4445919725 142
-132790.325768971 4823565.24440289 8073 1374.828125 30.9076867103577 0.639986103 143
-130790.325768971 4823565.24440289 8074 1403.22265625 30.1201505661011 0.639986103 144
-128790.325768971 4823565.24440289 8076 1433.25 35.4180073738098 0.639986103 145
-126790.325768971 4823565.24440289 8078 1425.1484375 35.8530445098877 0.639986103 146
-124790.325768971 4823565.24440289 8080 1362.7265625 41.1035375595093 0.639986103 147
-122790.325768971 4823565.24440289 8082 1440.2109375 36.899169921875 0.639986103 148
-120790.325768971 4823565.24440289 7924 1475.98046875 41.6977195739746 0.639986103 149
-118790.325768971 4823565.24440289 7925 1462.8359375 45.8018989562988 0.639986103 150
-116790.325768971 4823565.24440289 7927 1469.9296875 48.0495719909668 0.639986103 151
-114790.325768971 4823565.24440289 7929 1473.58984375 25.9498081207275 0.639986103 152
-112790.325768971 4823565.24440289 7933 1530.296875 20.8990888595581 0.5370253 153
-164790.325768971 4825565.24440289 8203 1629.109375 7.43592989444733 0.4445919725 154
-162790.325768971 4825565.24440289 8207 1648.26953125 7.47888398170471 0.4445919725 155
-160790.325768971 4825565.24440289 8211 1645.109375 6.81755709648132 0.4445919725 156
-158790.325768971 4825565.24440289 8047 1683.95703125 8.52831840515137 0.58652607 157
-156790.325768971 4825565.24440289 8048 1673.0703125 8.59208869934082 0.58652607 158
-154790.325768971 4825565.24440289 8050 1630.23828125 8.31608939170837 0.58652607 159
-152790.325768971 4825565.24440289 8054 1596.1796875 7.5358544588089 0.546926663 160
-150790.325768971 4825565.24440289 8056 1572.85546875 7.65320992469788 0.751596044 161
-148790.325768971 4825565.24440289 8058 1544 9.97246718406677 0.751596044 162
-146790.325768971 4825565.24440289 8060 1531.04296875 12.4731240272522 0.751596044 163
-144790.325768971 4825565.24440289 8061 1518.57421875 12.3596048355103 0.751596044 164
-142790.325768971 4825565.24440289 7891 1470.76953125 14.4293758869171 0.751596044 165
-140790.325768971 4825565.24440289 7893 1461.2109375 25.6405053138733 0.751596044 166
-138790.325768971 4825565.24440289 7895 1440.91015625 32.0036745071411 0.751596044 167
-136790.325768971 4825565.24440289 7897 1423.8828125 39.6548781394958 0.751596044 168
-134790.325768971 4825565.24440289 7899 1335.80859375 44.1752452850342 0.751596044 169
-132790.325768971 4825565.24440289 7902 1391.4765625 33.376880645752 0.665859004 170
-130790.325768971 4825565.24440289 7906 1433.40625 32.3216643333435 0.622990484 171
-128790.325768971 4825565.24440289 7910 1349.609375 54.531099319458 0.622990484 172
-126790.325768971 4825565.24440289 7729 1301.8046875 38.1920585632324 0.605994865 173
-124790.325768971 4825565.24440289 7731 1279.98046875 35.2708848317464 0.605994865 174
-122790.325768971 4825565.24440289 7732 1330.4296875 36.3258517583211 0.605994865 175
-120790.325768971 4825565.24440289 7736 1397.44921875 38.1091022491455 0.622990484 176
-118790.325768971 4825565.24440289 7740 1417.00390625 43.4622891743978 0.622990484 177
-116790.325768971 4825565.24440289 7744 1471.3046875 50.5540345509847 0.622990484 178
-114790.325768971 4825565.24440289 7748 1525.328125 36.266029993693 0.622990484 179
-112790.325768971 4825565.24440289 7754 1498.5859375 24.1012954711914 0.3396182525 180
-164790.325768971 4827565.24440289 8041 1660.21875 21.1061222553253 0.58652607 181
-162790.325768971 4827565.24440289 7871 1863.109375 39.1593408584595 0.58652607 182
-160790.325768971 4827565.24440289 7873 1819.71484375 28.9207046031952 0.58652607 183
-158790.325768971 4827565.24440289 7874 1778.0703125 19.1412668228149 0.58652607 184
-156790.325768971 4827565.24440289 7876 1739.2421875 12.0948271751404 0.58652607 185
-154790.325768971 4827565.24440289 7878 1689.625 10.1531467437744 0.58652607 186
-152790.325768971 4827565.24440289 7882 1655.30078125 9.71063554286957 0.669061057 187
-150790.325768971 4827565.24440289 7884 1633.25390625 10.4571129083633 0.751596044 188
-148790.325768971 4827565.24440289 7708 1776.34765625 50.9665700594584 0.751596044 189
-146790.325768971 4827565.24440289 7709 1701.9765625 47.6065942446391 0.751596044 190
-144790.325768971 4827565.24440289 7711 1599.03125 44.4528280893962 0.751596044 191
-142790.325768971 4827565.24440289 7713 1444.0390625 24.3164114952087 0.751596044 192
-140790.325768971 4827565.24440289 7715 1375.1640625 23.1549464861552 0.751596044 193
-138790.325768971 4827565.24440289 7717 1352.64453125 25.6346995035807 0.751596044 194
-136790.325768971 4827565.24440289 7718 1357.29296875 31.0932372411092 0.751596044 195
-134790.325768971 4827565.24440289 7720 1275.44140625 49.557861328125 0.751596044 196
-132790.325768971 4827565.24440289 7548 1211.828125 15.1129848957062 0.6787954545 197
-130790.325768971 4827565.24440289 7550 1168.25 18.621573805809 0.605994865 198
-128790.325768971 4827565.24440289 7552 1184.8671875 22.5141532421112 0.605994865 199
-126790.325768971 4827565.24440289 7554 1197.6796875 22.5531694889069 0.605994865 200
-124790.325768971 4827565.24440289 7555 1204.140625 24.6958490610123 0.605994865 201
-122790.325768971 4827565.24440289 7557 1279.65625 30.6397318840027 0.605994865 202
-120790.325768971 4827565.24440289 7559 1341.3984375 37.8020305633545 0.605994865 203
-118790.325768971 4827565.24440289 7561 1369.2421875 43.4132642745972 0.605994865 204
-116790.325768971 4827565.24440289 7390 1440.140625 41.0395174026489 0.605994865 205
-114790.325768971 4827565.24440289 7392 1504.84765625 37.3590121269226 0.605994865 206
-112790.325768971 4827565.24440289 7395 1601.53515625 43.5692844390869 0.245172008 207
